Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDO16,OUT035,1365.3064608888726
FDC60,OUT049,1379.9288378807926
FDA48,OUT018,3256.0591869494715
FDZ36,OUT027,5062.470119178567
FDK27,OUT045,2049.044646859451
FDW23,OUT018,624.5033057620011
FDM14,OUT018,1666.971254588404
FDM14,OUT013,1664.1823943768582
FDW60,OUT018,2926.020877500195
FDE21,OUT013,1992.35297033598
NCM42,OUT035,1671.8472539950014
FDY59,OUT010,232.56776594292805
DRI49,OUT049,1310.5190018079506
FDT28,OUT019,360.7342534142347
FDQ22,OUT018,627.4359753232741
FDR60,OUT049,1234.784999446121
FDC50,OUT019,239.07336447875934
FDV24,OUT013,2414.869432681502
DRF48,OUT010,495.3127100771004
FDQ47,OUT046,612.7251501925499
DRN36,OUT049,1558.792484431271
NCY06,OUT035,2049.7373611119565
FDE52,OUT035,1392.7746406936799
NCB54,OUT045,2043.31850073339
NCF31,OUT035,2465.886785562087
FDJ08,OUT027,5064.314270594892
NCC07,OUT017,1651.3401314066914
NCD19,OUT027,1375.7891188334836
FDL46,OUT049,2001.2661636875907
FDM20,OUT045,4063.9198191186115
NCI06,OUT010,460.8097145592641
DRM11,OUT035,4215.85119897143
NCH07,OUT018,2542.1372421766587
FDS23,OUT013,2116.814119629907
FDO49,OUT018,731.4944959550525
FDS35,OUT049,1028.6977677112875
DRK39,OUT045,1339.281053550051
DRI39,OUT049,871.8241448564021
FDV04,OUT017,2507.274855701123
NCN14,OUT035,3075.146180486222
FDH08,OUT013,3882.7857524122164
FDS20,OUT046,3176.7942717961273
FDV40,OUT049,1140.2665753800889
FDZ48,OUT010,258.5668601969781
FDS24,OUT027,2417.117589130798
FDK44,OUT049,2829.1440959978836
FDS48,OUT045,2466.4995372311714
FDK26,OUT010,497.6929876432506
FDD23,OUT045,3137.671497059413
NCH54,OUT017,2623.079995179069
NCP14,OUT010,243.2375207258072
FDM60,OUT010,130.36953952429266
FDV24,OUT017,2421.122453537776
FDH08,OUT018,3579.20216601726
FDS12,OUT027,3108.7978414892427
FDR39,OUT027,4842.882631164966
FDP12,OUT027,1247.5085247230395
DRF60,OUT027,5980.845440365242
FDC09,OUT035,1638.4979093712213
FDF50,OUT018,3014.6548574568906
FDG28,OUT035,4076.1352754761824
NCE19,OUT017,856.4267874083023
NCM53,OUT010,257.36030961407084
NCN18,OUT049,1726.9684781677074
FDF32,OUT035,3160.7909022742206
FDF11,OUT013,4030.786670980574
DRI59,OUT049,3743.8052959731353
NCG54,OUT035,2821.118854432048
FDM44,OUT046,1628.1973433466658
FDT57,OUT018,3614.884316464516
FDV24,OUT046,2433.9227386438765
FDI50,OUT019,570.9149208008629
FDS09,OUT035,757.2285210881041
NCC31,OUT027,3991.1307225981277
FDQ07,OUT019,566.4650732299424
FDC22,OUT017,3126.702980671986
FDZ56,OUT046,2882.3996434495625
FDZ40,OUT019,130.36953952429266
FDS46,OUT027,3014.4103681659058
DRD24,OUT045,2053.030532927489
FDV45,OUT017,3087.7335658801535
FDL26,OUT045,2484.69749144468
FDA56,OUT018,2007.2887093341344
FDN27,OUT046,1954.8144100046602
FDM20,OUT049,4073.039022710789
FDO16,OUT017,1330.8037153368962
FDL03,OUT035,3064.312138026218
FDE58,OUT046,1949.2834079497793
FDI02,OUT027,2991.1360041617404
NCC55,OUT019,130.36953952429266
FDR03,OUT018,3195.641188805634
FDB14,OUT017,1419.9203491418832
FDR45,OUT013,4027.546736453587
NCN07,OUT017,2111.9972605356543
FDM51,OUT019,246.41404223496522
FDT52,OUT027,5989.53247931535
FDL26,OUT046,2473.285995223263
NCZ42,OUT046,3968.019115880002
DRI47,OUT019,357.5461780414505
FDW40,OUT013,2129.1236178244662
FDN34,OUT046,2920.8646043005015
FDS01,OUT035,2989.064471604112
NCG55,OUT045,1934.7129207898595
FDC11,OUT035,1373.586541413451
FDX35,OUT018,3470.2161871758512
NCB06,OUT046,2615.721308333511
FDR09,OUT019,567.5842469394674
FDC53,OUT017,1550.8093867943799
FDY45,OUT013,4074.3520131264527
FDA22,OUT010,398.023525799009
FDE02,OUT035,1496.1626468564648
FDW21,OUT045,1628.0561660635244
FDV34,OUT046,1095.6303881528597
FDS59,OUT049,1664.3541657522094
NCW17,OUT017,2122.7389921834065
NCK54,OUT046,1959.850237874467
FDG17,OUT019,570.9149208008629
FDG35,OUT017,2922.6945132297587
FDD08,OUT010,130.36953952429266
NCO07,OUT017,3554.263710831966
FDJ10,OUT010,292.9257989455303
FDW36,OUT017,1645.3528827412833
FDW21,OUT010,241.84137701685276
FDY19,OUT017,1971.6629967949682
DRE03,OUT013,760.7481175954877
NCC55,OUT049,641.3902871981111
FDH52,OUT010,135.34594309946442
FDO09,OUT017,3964.013197760761
FDU43,OUT045,4003.6335283254275
FDX09,OUT010,421.83064688628286
FDH40,OUT019,205.8790221038231
FDW58,OUT017,1643.2106777678127
FDC47,OUT017,3703.299262951623
NCR41,OUT035,1488.0991307577394
DRG49,OUT035,4009.315129761173
FDC52,OUT027,3881.037972173377
FDY13,OUT046,1115.2243273460722
FDY35,OUT013,697.7858553953503
FDI35,OUT017,3128.8676154862637
NCU18,OUT049,2082.0505303065684
FDY33,OUT018,2543.2093989384284
FDC15,OUT027,4154.914941207961
FDU01,OUT049,3122.2740372719063
NCU42,OUT046,2953.071584410771
NCV29,OUT018,2918.967078440018
NCY30,OUT017,3060.892613966682
FDQ46,OUT049,1741.3947715836289
FDG58,OUT027,3991.1307225981277
FDK33,OUT017,3540.392027693418
NCD07,OUT045,1925.2159557906657
NCX29,OUT027,3833.8337803173026
NCT42,OUT013,2459.5994002528155
DRN59,OUT035,741.3923924008978
FDI44,OUT035,1260.9287348818384
FDA45,OUT049,2821.189693848168
FDP31,OUT045,1011.1390368113273
FDY01,OUT046,1944.7951429510567
FDT09,OUT018,2039.74839738423
DRH03,OUT027,2693.739616994653
FDA36,OUT018,3034.8720749845634
NCF31,OUT017,2462.0145691436624
FDG14,OUT049,2432.1962901152933
FDG28,OUT027,5980.845440365242
FDU14,OUT049,4093.4258572162403
FDY47,OUT019,300.726722864414
FDI56,OUT049,1389.9741815562752
DRD01,OUT013,924.4883182875847
FDM22,OUT046,874.4266088150532
FDH33,OUT013,694.4477059542937
DRZ24,OUT013,1988.1745835941547
NCQ38,OUT046,1651.5912992691467
FDO16,OUT027,2199.2422859832213
FDU07,OUT027,3844.709609520838
NCB07,OUT013,3017.4160736123276
FDU48,OUT045,2055.5785383081766
NCM43,OUT045,2803.0252860439214
FDR31,OUT010,357.59107880331436
DRK49,OUT018,637.0245736566923
NCI30,OUT010,576.6793113054122
DRD60,OUT017,2975.514868388776
NCG19,OUT046,3776.196179746877
FDH12,OUT035,1643.7646229043748
FDM32,OUT035,1403.8741143058726
FDM27,OUT035,2498.364166523238
NCU53,OUT027,4316.16047911117
NCQ18,OUT046,1615.9550993657188
FDS10,OUT013,2875.805171353876
FDB33,OUT027,4154.914941207961
FDI12,OUT013,1444.590136574334
NCW42,OUT013,3560.596042037034
NCC06,OUT018,2020.2059701225548
FDW02,OUT017,2091.3278564239645
NCD43,OUT017,1646.4202806530009
FDM57,OUT018,1377.1406201998284
FDA58,OUT017,3787.7517450428086
FDK56,OUT046,3172.036531840595
FDP52,OUT045,3855.935061454154
FDW20,OUT018,2017.8149457204627
FDS52,OUT049,1616.3789557627053
NCT29,OUT018,1979.5382855222454
NCL54,OUT013,2906.4767886750606
FDC05,OUT045,3141.1582774226104
FDF34,OUT035,3169.7504289336457
FDP03,OUT027,3100.4866167376194
FDD32,OUT010,198.4215720592444
FDZ10,OUT045,2071.436236467768
FDZ40,OUT035,865.914614662608
FDD51,OUT018,656.0786583735093
NCY30,OUT019,436.0818347436145
FDP58,OUT017,3449.9204812998228
FDV49,OUT017,4156.5813241682945
FDY24,OUT019,130.36953952429266
NCO55,OUT017,1666.144439258336
FDR13,OUT017,1966.2076132057755
FDS51,OUT017,945.8926244834468
FDP26,OUT045,1640.6369423222059
NCB54,OUT027,3122.9122421899165
FDF32,OUT017,3098.696883731829
FDN31,OUT018,2993.3214011383347
DRM48,OUT017,594.1980516961848
FDN20,OUT049,2829.3748123857963
DRL01,OUT046,3853.163870547779
FDV56,OUT049,1656.749245333889
DRH13,OUT027,2873.2827703739476
FDA03,OUT017,2423.3332701942995
FDF47,OUT027,5980.845440365242
FDX32,OUT046,2473.8838781724453
FDX57,OUT049,1536.369303430126
NCA30,OUT045,3047.1797683940226
FDO49,OUT013,762.5388080407985
FDL04,OUT019,245.07607574180437
DRM48,OUT035,604.8468961491849
FDR16,OUT013,3427.0603387874876
NCC19,OUT018,3005.354801801425
NCE42,OUT045,3871.783736695467
FDY24,OUT017,856.726305363535
FDH19,OUT049,2840.043134151807
FDJ46,OUT013,2856.5148443101834
FDN45,OUT010,566.1384645229563
FDY08,OUT035,2059.4501276517617
FDZ37,OUT035,1381.8937173134316
NCT30,OUT045,742.5333953059139
DRY23,OUT018,649.7929110886002
NCZ30,OUT018,2011.1719773218426
FDC44,OUT018,1838.9002752668391
FDB45,OUT035,1637.2095757795707
FDY04,OUT013,2625.227740143056
FDM27,OUT046,2663.00157912695
FDZ43,OUT017,3990.692198054693
FDT39,OUT019,360.2048543694848
NCC06,OUT019,298.66925138140476
FDL15,OUT027,3991.1307225981277
FDL57,OUT017,4007.1415641664807
FDU08,OUT046,1605.4079161590482
FDK40,OUT017,4193.46806978511
FDQ12,OUT010,572.2072417979978
FDS48,OUT017,2458.3267909714327
FDP09,OUT045,3500.882649054249
FDW21,OUT049,1615.2892231778696
FDY25,OUT035,3021.937011063552
DRE13,OUT017,1371.158137433502
FDV43,OUT019,130.36953952429266
FDD22,OUT045,1733.6578684313195
FDM46,OUT019,233.6537055750862
NCO30,OUT010,491.02086267954064
FDM25,OUT046,2861.3073734544264
NCN41,OUT049,2056.2114258916686
FDU24,OUT045,1431.4880688436501
FDZ50,OUT046,3190.973809224572
FDP45,OUT013,4040.585863535423
NCM54,OUT045,2049.063174392928
FDW10,OUT019,421.0205721314015
FDP20,OUT017,2092.2930059604164
FDK32,OUT046,2463.991270726843
FDN52,OUT049,1380.6005838119613
FDM58,OUT045,1718.4517852032682
FDZ46,OUT027,2971.8412079150066
NCA18,OUT018,1880.8766031543323
FDD35,OUT046,2068.26289359715
NCK31,OUT035,744.4383654661865
FDI40,OUT027,2820.9425507629494
FDT50,OUT019,244.29960535319643
NCT06,OUT046,2716.557780848579
FDT31,OUT035,3072.5644740704547
FDT45,OUT049,826.3108794146974
FDT13,OUT045,3154.213991829959
FDO50,OUT045,1386.3587593865675
NCU18,OUT010,295.7296337637303
NCR54,OUT049,3138.754170931701
NCO18,OUT018,2913.3728774428523
FDU09,OUT045,864.0199862544537
FDT13,OUT018,3011.202390633159
FDE09,OUT046,1743.8449962586246
NCK53,OUT019,249.9582722807911
FDG45,OUT049,3547.1507589432645
DRH15,OUT035,696.2362680036946
FDO21,OUT019,570.0252818766171
FDD14,OUT027,5053.78308022846
FDC09,OUT046,1640.8625290056839
FDH45,OUT027,1254.0197577681226
FDV32,OUT046,1033.1160199301914
FDG12,OUT035,2004.296933202
FDS32,OUT013,2125.8263653438776
NCL55,OUT018,3685.3160046885855
DRE01,OUT035,3920.383032217041
DRE15,OUT049,1264.34273677319
NCL42,OUT045,3944.1596700059786
FDP31,OUT013,1090.6163277813964
FDN33,OUT018,1436.3875249407774
FDZ59,OUT046,2648.4897196901748
FDE45,OUT010,430.1215275763425
FDJ07,OUT013,2007.6957846045314
FDQ45,OUT018,3041.9466907737487
FDM33,OUT027,5981.3208116778815
FDO15,OUT010,146.75562622811424
FDM46,OUT013,1472.391485943246
FDR03,OUT045,3420.826610840525
FDY49,OUT018,2825.7020393340736
FDQ60,OUT045,1962.1109245938392
FDW10,OUT049,2948.7468821512116
FDO51,OUT049,698.8184314995779
FDJ40,OUT018,1630.1685179413732
FDS20,OUT018,3002.3729988481127
FDU45,OUT013,1796.978130905054
FDV02,OUT035,2794.527300149766
FDN09,OUT046,3958.446162421728
NCM55,OUT027,5062.470119178567
FDN23,OUT018,2372.949444389123
FDY31,OUT010,358.5350529276428
FDW03,OUT010,243.01236747065053
FDD14,OUT046,3092.2082722924474
FDV23,OUT017,2090.6451341561915
DRI03,OUT045,2932.589788899803
FDN13,OUT035,1604.9484949840296
FDF45,OUT027,1396.4878131710755
FDU46,OUT035,1387.7065259592005
FDB57,OUT049,3721.478721655192
FDV12,OUT049,1614.1380604054837
FDQ58,OUT013,2430.9758121961336
NCA18,OUT017,1958.7887434343647
FDH52,OUT049,941.8504154609615
FDM24,OUT018,2369.2379651449623
NCP43,OUT027,4855.729662483443
NCO18,OUT019,423.82289211274764
FDM32,OUT017,1379.8407313886016
NCL07,OUT017,608.2808289211316
FDK03,OUT013,4154.087900391846
FDP59,OUT017,1640.7233753958967
FDQ24,OUT049,4112.245772051764
FDQ16,OUT018,1629.594746860585
FDU44,OUT013,2583.397550225808
FDH28,OUT010,130.36953952429266
FDV28,OUT019,130.36953952429266
FDM22,OUT045,868.2354172410688
FDR56,OUT046,3153.423631362168
FDV39,OUT049,3200.93419828029
FDU37,OUT019,192.59656054517106
FDQ11,OUT010,573.0418640901567
FDX02,OUT045,3696.200453821592
NCS42,OUT018,1434.3514580427384
FDY57,OUT027,2693.5557708872325
FDB21,OUT049,3989.075621001114
FDE28,OUT017,3764.6335256290627
FDQ55,OUT017,1931.3581929718757
FDA48,OUT049,3601.351031143838
FDZ19,OUT045,2867.466743081027
NCC43,OUT045,3944.818630666644
NCV18,OUT046,1343.6964336563108
NCA42,OUT018,2551.179094938615
FDY45,OUT046,4016.1710262993483
NCC30,OUT045,2941.2530965617943
FDM57,OUT013,1449.6557326685672
FDL09,OUT010,396.6285977088326
FDB09,OUT027,3100.4866167376194
FDT44,OUT035,1965.9447978334003
NCT06,OUT027,4316.16047911117
FDX26,OUT049,3156.49185389371
FDK32,OUT013,2458.6680109672684
DRA12,OUT046,2081.981639874633
FDO46,OUT010,496.5902773842428
FDE52,OUT013,1446.6088366092383
NCH42,OUT045,3799.3497890199405
FDV08,OUT035,665.3484195153933
FDB47,OUT018,3218.793176069269
FDC28,OUT010,254.79747689599557
FDD22,OUT046,1899.9669135403146
FDS07,OUT027,2994.1667464538855
DRI13,OUT045,3511.8191944398864
FDG32,OUT018,3375.976897702122
FDU14,OUT017,4046.164080319332
FDD28,OUT019,132.6684912942849
NCP41,OUT017,1673.2938680096174
FDS08,OUT049,2866.214585759719
FDX47,OUT045,2530.7128568533913
FDC53,OUT019,244.78719963767105
FDQ19,OUT035,4082.122525818135
FDL14,OUT045,2455.8419359436316
FDM33,OUT019,564.2850480206232
FDA51,OUT045,1876.3285188190391
FDZ27,OUT018,730.9868705233364
FDT04,OUT046,657.936098901033
DRC13,OUT049,2051.1482135930673
FDR16,OUT027,5986.005039388294
FDQ03,OUT027,5988.115290210137
FDE38,OUT035,2762.205580233029
DRH23,OUT027,1377.0914353583407
FDT11,OUT019,504.04226434124894
FDD09,OUT035,3023.964194470381
FDR40,OUT045,1334.7221225096444
FDX07,OUT017,3072.9078851475815
FDR07,OUT035,1546.9371857681215
FDA51,OUT017,1919.176623040569
FDT59,OUT019,577.8760579005627
FDF20,OUT017,3127.0459329159476
FDR13,OUT045,1911.4437726631409
FDY26,OUT049,3543.0922083454657
FDW04,OUT017,2100.7560454595778
FDK52,OUT017,3729.8483923410568
FDN60,OUT049,2533.5035687310315
FDM09,OUT019,407.44745628026743
FDP46,OUT049,1372.2666020537206
FDB50,OUT019,188.3745889034132
NCQ29,OUT049,4059.7759035334616
FDP16,OUT027,5984.833805704131
FDX33,OUT018,2548.938476504697
FDP07,OUT010,517.0593468048095
FDN22,OUT046,3932.643848429391
FDF39,OUT049,4220.169418589972
FDS21,OUT017,914.4606288982877
NCM42,OUT013,1672.6544594381037
FDK50,OUT019,394.7096995753184
DRF13,OUT027,3840.2133707720996
FDH35,OUT018,2567.720787724895
FDP60,OUT018,1593.5426358883833
DRJ49,OUT027,3122.9122421899165
NCT42,OUT019,359.2383303262432
FDE38,OUT049,2771.477151835711
FDI04,OUT049,3186.632915899061
NCH54,OUT045,2583.519982849568
FDT56,OUT049,898.5953044748084
DRD15,OUT018,3556.4743698255456
FDV58,OUT013,3044.814490627142
FDP21,OUT049,3189.471305628964
FDH05,OUT013,3773.4998881588654
FDR10,OUT027,4269.045343134068
NCP06,OUT045,2492.4607205450952
FDF33,OUT049,1654.928757037624
DRK37,OUT013,3133.6964583212334
DRH49,OUT045,1328.7706022303503
FDT58,OUT013,2751.4893241389627
FDD41,OUT018,1622.6203466850232
FDP40,OUT018,1669.4679635695072
FDM51,OUT027,2820.9425507629494
FDO45,OUT010,205.75333687873982
FDW33,OUT010,243.2375207258072
FDY24,OUT045,864.2682315770057
FDB10,OUT010,566.9229112220142
FDM40,OUT035,2059.9110391797662
NCI06,OUT017,2997.0653537877224
FDW12,OUT019,346.07071939606504
FDX48,OUT027,4009.06949894951
NCW05,OUT027,2867.6378616227566
FDX27,OUT017,1496.7521615052317
DRM37,OUT045,3140.539950714038
FDA38,OUT045,4083.1133494581636
FDR36,OUT046,651.4200596179022
FDZ45,OUT046,3185.905070084491
FDG05,OUT017,2530.8414107483377
FDK28,OUT013,4268.665502491439
FDV47,OUT045,1362.3726061799052
FDN21,OUT045,2583.238866441773
FDP20,OUT027,3108.7978414892427
FDI35,OUT045,3137.630362727995
DRY23,OUT013,697.869610989113
FDA56,OUT017,2100.4476688904465
FDB09,OUT013,2095.017353668202
NCO26,OUT027,3014.4103681659058
FDQ49,OUT018,2457.1368866470257
FDI52,OUT027,3072.838942495889
FDZ44,OUT027,3014.4103681659058
FDZ09,OUT018,2606.7765932322404
FDY03,OUT049,1894.3013009420547
NCG42,OUT017,2108.5368337077102
DRI13,OUT027,5979.335725301381
FDQ32,OUT013,2109.1987348453076
FDW16,OUT035,1389.1175141861088
FDU27,OUT046,746.165049045676
FDR28,OUT010,396.9754354336917
FDQ49,OUT010,389.73191893370625
FDS37,OUT046,1943.754755024927
FDW26,OUT018,3281.0758409906016
FDX12,OUT018,3740.8034741501924
NCP06,OUT013,2480.3326626326357
FDW45,OUT010,358.47763589242584
NCN30,OUT049,1492.9515928447806
FDN24,OUT049,828.769938315399
NCL41,OUT027,1247.5085247230395
FDR02,OUT019,264.90292631922324
FDD09,OUT010,453.35221258813226
FDS33,OUT010,207.70759118731254
FDU22,OUT045,2022.1139112992576
FDI53,OUT013,2578.9049281141342
DRH01,OUT049,2845.6613458393176
FDX32,OUT013,2145.633518527688
NCP30,OUT018,627.7033608039441
FDB60,OUT045,3140.26054880529
FDB14,OUT049,1425.0328897754537
NCP02,OUT035,865.7547495122582
FDJ10,OUT017,2103.2961631980284
FDG34,OUT046,1710.4223732023231
NCB18,OUT017,1367.6816832365068
FDM16,OUT049,1102.466968189656
FDW25,OUT018,1373.5010521858535
FDB35,OUT010,220.23043543801256
DRN11,OUT013,2136.8267295012115
FDF41,OUT019,565.4157543275484
FDH16,OUT045,1386.571378245557
NCQ50,OUT018,3229.1386891109487
DRH23,OUT018,879.7613750359347
DRJ37,OUT013,2425.2551759734547
DRJ24,OUT027,5053.78308022846
FDY16,OUT035,3085.7492433796447
FDQ27,OUT045,1648.344154636717
FDZ33,OUT045,2470.005205996413
FDF29,OUT045,2073.850717951018
FDA08,OUT049,2642.677611762995
FDG31,OUT046,1038.096886893961
FDE34,OUT019,456.7769437199657
NCR30,OUT027,1497.3929840178225
FDV33,OUT035,4090.008291996132
DRZ24,OUT018,1997.6307057541396
NCL54,OUT035,2884.057345638421
FDR12,OUT049,2891.953646513312
NCC54,OUT046,3930.374183571961
DRN59,OUT013,760.3949824337946
FDX50,OUT019,266.52244933261534
FDV31,OUT027,4800.809710310657
NCA29,OUT027,4564.644760419007
FDW60,OUT049,3004.9422667591716
FDX08,OUT017,3160.9678311122325
DRD49,OUT013,3845.1685096332117
FDD33,OUT046,3718.447077360205
FDW35,OUT013,695.2412041843094
FDJ36,OUT017,1640.744827661081
FDV51,OUT035,2782.78473089704
FDW36,OUT046,1655.142118430892
FDH35,OUT046,2631.1123352629775
NCS30,OUT027,3122.9122421899165
FDN49,OUT017,623.4688719269398
FDL08,OUT018,3742.776640526903
FDI09,OUT013,3907.823067490311
FDP19,OUT018,2009.7145965035452
FDU21,OUT010,130.36953952429266
NCP41,OUT045,1661.2482953914327
FDY10,OUT013,1836.4649730725878
FDP12,OUT018,591.6072743906122
NCN26,OUT049,1954.8743453428913
FDK44,OUT013,2813.7665192083077
FDC28,OUT049,1664.782390103848
FDJ41,OUT027,5980.845440365242
NCT29,OUT035,2038.7593416793245
NCH42,OUT019,577.5382919873705
FDU60,OUT018,2674.7550495735295
FDS02,OUT045,3139.1525221029688
FDC51,OUT046,2071.2261017140063
FDU03,OUT013,3034.137097045177
FDX39,OUT045,3541.4876357802964
NCY05,OUT010,130.36953952429266
NCL06,OUT027,5989.53247931535
FDD32,OUT035,1269.307048082326
NCN41,OUT045,2041.712124369576
NCX53,OUT049,2104.925635108869
FDU57,OUT019,359.2664733724315
FDQ23,OUT046,1646.0904091446155
FDQ52,OUT045,4016.8913781270494
FDC14,OUT045,644.9443353795077
FDY09,OUT035,2948.9570343301402
FDQ28,OUT045,2493.9681102985815
FDV25,OUT046,3611.338570781215
FDJ07,OUT035,1943.5888869595046
DRB25,OUT049,1648.2808778566862
FDK52,OUT019,565.4157543275484
FDY52,OUT027,1448.2643207210492
FDB28,OUT046,3175.6389152852207
FDT36,OUT035,602.6756677265143
FDV25,OUT017,3710.3290224682346
NCN07,OUT027,3122.9122421899165
FDC57,OUT017,3046.7266137181596
FDQ03,OUT018,3577.324592703033
FDU23,OUT017,2841.3539238339586
NCX41,OUT035,3508.615644919647
NCD06,OUT035,742.0656240681418
FDW08,OUT045,1652.3016916075874
NCU29,OUT017,2473.4516789500813
NCE06,OUT013,2561.338477472344
FDV52,OUT010,275.82971583627887
FDB02,OUT017,2904.244777851429
NCR18,OUT045,670.1488958318191
FDK16,OUT049,1481.2527867579597
NCQ29,OUT010,575.1101921815487
FDZ01,OUT019,248.39515253247356
FDW27,OUT035,2517.913777323588
FDD17,OUT018,3677.5909043081865
FDW39,OUT013,2901.9730585109564
DRH59,OUT045,1049.9669249050833
FDS52,OUT013,1637.5954108254896
FDU40,OUT027,5593.190247363358
NCF54,OUT013,2831.185291165919
FDH46,OUT045,1643.3993776484215
NCP14,OUT049,1648.0206300710095
FDH50,OUT049,3220.2622199901857
DRF15,OUT010,368.34277603532956
FDV27,OUT027,2417.117589130798
NCJ06,OUT049,2045.1244372876092
FDN02,OUT018,3120.0974717856625
FDQ51,OUT049,743.5607630048113
FDQ07,OUT017,3639.987168110011
FDS45,OUT049,1647.9845724550241
NCJ06,OUT045,2041.4158612922279
FDD36,OUT035,1945.4065889602343
FDY25,OUT045,3165.493316568075
FDU52,OUT046,2457.4640138440814
DRK47,OUT017,3779.6906330708503
NCL30,OUT017,2099.821297340697
FDN22,OUT035,3946.0325750847696
NCF30,OUT027,3108.7978414892427
FDK03,OUT035,4130.63064959959
FDT45,OUT017,858.4574955163516
NCC54,OUT027,5989.53247931535
